st,occupation,tot_emp,hr_mean,avg_mean
AL,Podiatrists,90,71.16,"148,010"
AL,Occupational Therapists,"1,260",40.29,"83,810"
AL,Physical Therapists,"2,780",43.57,"90,620"
AL,Radiation Therapists,450,41.36,"86,020"
AL,Recreational Therapists,120,20.61,"42,860"
AL,Respiratory Therapists,"2,450",24.41,"50,770"
AL,Speech-Language Pathologists,"1,640",34.25,"71,240"
AL,Exercise Physiologists,70,21.59,"44,900"
AL,"Therapists, All Other",80,20.90,"43,480"
AL,Veterinarians,930,44.68,"92,930"
AL,Registered Nurses,"49,490",28.59,"59,470"
AL,Nurse Anesthetists,"1,240",77.78,"161,780"
AL,Nurse Practitioners,"3,680",46.14,"95,970"
AL,Audiologists,100,34.90,"72,600"
AL,"Health Diagnosing and Treating Practitioners, All Other",110,36.23,"75,360"
AL,Clinical Laboratory Technologists and Technicians,"4,640",22.94,"47,720"
AL,Dental Hygienists,"3,490",22.36,"46,500"
AL,Cardiovascular Technologists and Technicians,640,24.56,"51,090"
AL,Diagnostic Medical Sonographers,"1,200",27.14,"56,450"
AL,Nuclear Medicine Technologists,420,29.49,"61,350"
AL,Radiologic Technologists,"3,600",22.84,"47,510"
AL,Magnetic Resonance Imaging Technologists,620,28.57,"59,420"
AL,Emergency Medical Technicians and Paramedics,"3,750",14.55,"30,260"
AL,Dietetic Technicians,190,16.05,"33,370"
AL,Pharmacy Technicians,"7,140",14.44,"30,040"
AL,Psychiatric Technicians,"1,150",13.17,"27,390"
AL,Respiratory Therapy Technicians,130,20.07,"41,740"
AL,Surgical Technologists,"2,220",17.61,"36,630"
AL,Veterinary Technologists and Technicians,"1,070",15.13,"31,480"
AL,Ophthalmic Medical Technicians,650,17.55,"36,500"
AL,Licensed Practical and Licensed Vocational Nurses,"12,190",18.38,"38,230"
AL,Medical Records and Health Information Technicians,"2,830",17.53,"36,470"
AL,"Opticians, Dispensing",980,15.70,"32,660"
AL,Orthotists and Prosthetists,160,29.62,"61,600"
AL,Hearing Aid Specialists,120,26.22,"54,550"
AL,"Health Technologists and Technicians, All Other",990,22.23,"46,230"
AL,Occupational Health and Safety Specialists,"1,290",34.13,"71,000"
AL,Occupational Health and Safety Technicians,290,23.89,"49,690"
AL,Athletic Trainers,540,*,"41,690"
AL,Genetic Counselors,**,23.46,"48,800"
AL,"Healthcare Practitioners and Technical Workers, All Other",420,20.03,"41,660"
AL,Healthcare Support Occupations,"53,630",13.19,"27,440"
AL,Home Health Aides,"4,870",9.99,"20,780"
AL,Psychiatric Aides,"1,750",12.83,"26,680"
AL,Nursing Assistants,"22,590",11.59,"24,110"
AL,Orderlies,810,11.34,"23,580"
